,Unnamed: 0,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
625,626,1,1,42,1,2,1777,0,5,0,1,2,4,4,5,5,1,1,3,5,3,0,2.0,1
763,767,1,0,29,1,2,802,2,2,2,3,5,2,5,5,4,4,4,5,4,5,66,56.0,0
3886,3901,1,1,41,1,2,2097,3,3,3,3,2,5,5,5,5,5,5,3,5,3,24,11.0,1
2813,2824,1,1,42,1,2,151,3,3,3,3,5,3,3,4,4,4,4,2,4,5,106,104.0,1
6087,6107,0,1,10,0,0,529,4,3,4,4,3,4,3,3,3,3,3,2,3,3,34,27.0,0
6947,6971,0,1,27,1,1,997,3,4,4,4,3,3,3,3,3,5,4,2,4,3,43,29.0,0
8034,8062,1,1,44,1,2,2133,2,2,2,2,3,4,5,4,4,4,4,4,4,4,1,0.0,1
3013,3024,0,0,28,1,2,1363,0,0,0,3,5,0,5,5,5,2,4,3,5,5,6,0.0,1
6369,6390,0,1,45,0,1,817,1,3,1,5,5,1,5,5,4,4,5,4,4,5,0,0.0,0
9216,9247,1,0,23,1,0,1353,3,3,3,4,4,3,4,4,4,2,4,1,3,4,0,0.0,0
2901,2912,0,1,18,0,0,937,2,3,2,4,1,2,1,1,5,2,1,5,2,1,6,1.0,0
112,112,1,1,14,1,2,3421,2,1,1,1,2,2,2,2,3,2,3,2,4,2,1,0.0,0
9694,9727,0,1,38,1,2,3541,4,4,4,4,2,5,2,4,4,4,4,3,4,5,5,0.0,1
1545,1552,0,1,41,1,2,2730,5,5,5,5,3,4,4,5,5,5,5,5,5,3,0,0.0,1
5553,5573,1,1,34,1,2,1975,2,2,2,2,3,4,4,2,2,2,2,1,2,3,0,0.0,0
2941,2952,0,1,33,1,2,259,4,4,4,4,3,4,3,3,1,4,4,1,2,3,21,21.0,1
3433,3446,1,1,47,0,0,544,3,3,3,4,3,3,4,1,1,3,1,4,1,1,0,0.0,0
4109,4126,1,1,41,1,0,227,1,3,3,3,1,1,1,4,4,3,4,1,2,1,132,133.0,0
5438,5458,1,1,13,0,0,321,5,4,5,4,3,5,3,3,5,4,4,4,1,3,0,0.0,1
9440,9471,1,1,70,0,0,1379,3,3,3,3,2,4,3,2,2,3,2,1,2,1,49,38.0,0
804,809,0,1,22,0,0,990,4,5,4,1,4,5,5,2,3,4,2,5,5,5,243,267.0,0
229,229,1,1,18,0,0,190,4,4,0,4,5,0,5,5,2,3,3,1,4,5,0,0.0,1
8233,8262,1,1,62,0,0,602,1,3,1,3,3,2,2,4,4,1,4,1,4,2,0,0.0,0
7900,7928,0,1,30,0,0,223,2,0,2,1,2,2,2,2,4,5,4,3,4,2,49,47.0,0
5344,5364,1,1,49,1,2,2565,3,2,3,3,4,4,4,4,3,5,4,4,4,4,2,16.0,1
6505,6527,1,1,28,0,0,852,2,5,3,1,5,3,5,5,5,3,4,4,5,5,0,0.0,0
8165,8194,1,0,44,1,0,842,3,3,3,3,4,3,4,4,1,5,4,3,3,4,0,0.0,0
3304,3317,1,1,55,0,0,594,3,3,3,5,2,4,1,4,4,3,4,4,4,5,8,10.0,0
2344,2353,0,1,13,0,0,383,1,4,1,2,4,1,4,4,3,4,5,3,4,4,0,9.0,0
9228,9259,0,1,32,1,2,2220,4,4,4,4,4,4,4,4,4,4,4,5,4,4,0,0.0,1
234,234,1,0,26,1,2,214,5,5,5,3,4,5,4,4,4,4,4,4,5,4,0,1.0,1
6899,6923,0,1,35,1,2,2464,2,2,2,2,2,4,4,2,2,2,2,3,2,2,17,7.0,0
4355,4372,0,0,27,1,2,414,5,5,5,1,2,5,1,2,3,2,5,4,5,2,15,12.0,1
5992,6012,1,1,42,1,2,1525,4,4,4,4,4,5,5,4,4,4,4,5,4,5,3,0.0,1
8106,8135,1,0,22,1,0,1121,4,4,4,4,1,4,1,1,4,4,1,3,1,1,28,31.0,0
4936,4955,1,1,21,0,0,372,3,4,3,4,1,3,1,1,3,2,5,2,5,1,40,23.0,0
2958,2969,1,1,42,1,2,89,0,4,0,1,4,4,5,3,3,3,3,5,3,1,0,0.0,1
956,962,0,1,13,0,0,4243,4,0,5,3,5,2,5,2,4,3,1,5,2,5,0,0.0,0
5546,5566,0,1,50,0,0,639,3,5,4,1,3,4,3,3,4,3,5,4,4,3,0,0.0,0
6118,6138,0,1,67,0,1,134,2,5,2,2,1,2,1,1,4,5,2,3,4,1,0,0.0,0
6345,6366,1,0,24,1,2,831,0,4,0,3,3,0,3,3,5,3,3,3,4,3,0,0.0,1
3506,3519,1,1,44,1,0,216,4,1,1,1,5,3,3,4,4,4,4,1,4,3,0,0.0,0
8631,8662,1,1,58,1,2,2475,3,3,3,3,3,5,4,4,4,4,4,3,4,4,0,0.0,1
9918,9953,1,1,45,0,1,589,3,4,3,3,2,4,5,3,3,3,3,4,3,4,8,0.0,0
9783,9818,1,1,41,0,0,355,2,4,2,5,5,2,5,5,2,4,2,3,5,5,0,0.0,0
6551,6573,1,0,49,1,2,308,4,4,4,4,5,4,5,5,3,2,4,4,5,5,0,6.0,1
891,897,1,0,44,1,0,374,1,0,1,3,3,1,3,3,2,1,4,1,4,3,0,0.0,0
2512,2523,1,1,38,1,0,192,3,3,3,3,3,3,3,3,4,2,4,4,4,3,0,0.0,0
9177,9208,1,1,51,1,2,342,4,4,4,4,4,5,5,4,4,4,4,3,4,5,0,0.0,1
6830,6853,1,1,18,0,0,1127,2,5,2,3,3,2,3,3,4,4,4,3,5,3,0,0.0,0
8469,8499,1,0,48,1,0,1319,2,2,2,3,5,2,5,5,1,2,4,4,4,5,80,57.0,0
2364,2373,0,1,45,0,1,86,1,5,1,1,1,1,1,1,3,5,4,3,4,1,0,0.0,0
1167,1173,1,1,47,0,1,552,2,4,2,3,4,3,3,4,4,2,4,4,4,2,0,26.0,0
4598,4616,0,1,52,0,0,759,1,2,1,4,2,1,2,2,1,4,4,2,3,2,0,0.0,0
4161,4178,0,1,40,1,2,3973,3,3,3,3,2,4,4,3,3,3,3,5,3,3,10,2.0,1
7609,7636,0,1,56,1,2,472,3,5,2,5,2,3,3,3,3,3,3,4,3,4,33,25.0,0
1332,1338,1,1,15,0,0,197,4,5,4,5,2,4,2,2,3,2,4,3,4,2,63,91.0,0
5521,5541,1,1,24,0,0,861,2,2,2,1,2,2,2,2,2,3,2,1,2,2,44,42.0,0
2506,2517,1,1,54,1,2,2509,4,4,4,4,3,5,4,3,3,4,3,3,3,3,6,0.0,1
4315,4332,1,1,59,1,2,1819,4,4,4,4,3,1,3,4,4,4,4,3,4,5,32,14.0,1
1463,1470,1,1,42,1,2,2704,5,5,5,5,2,3,5,5,5,5,5,5,5,4,0,0.0,1
1404,1411,0,1,20,1,2,594,5,5,5,5,2,2,2,2,4,5,4,3,5,2,0,0.0,1
4888,4907,0,1,45,1,0,984,5,3,3,3,5,5,5,5,5,5,5,3,2,5,0,0.0,1
5495,5515,0,1,42,1,2,1959,3,1,1,1,5,3,3,3,3,3,3,4,3,4,70,58.0,0
8458,8488,0,0,16,1,0,960,1,1,1,4,1,3,3,3,3,5,5,3,5,3,0,0.0,0
858,863,1,1,22,1,2,2545,3,3,4,3,4,4,4,4,4,4,5,3,4,4,17,0.0,1
6780,6803,0,1,66,0,2,919,4,4,4,1,3,5,4,1,1,4,1,4,1,3,74,61.0,0
2954,2965,1,0,18,1,2,500,0,0,0,4,4,0,4,4,3,3,5,3,4,4,0,0.0,1
9333,9364,1,1,45,1,2,3344,1,1,1,1,5,5,5,4,3,5,5,5,3,5,163,157.0,1
1620,1627,0,0,41,1,2,345,4,4,4,3,5,4,5,5,3,5,4,4,5,5,60,59.0,1
6061,6081,0,1,29,1,0,1250,5,1,1,1,5,5,5,5,5,1,4,1,2,5,72,89.0,1
9011,9042,1,0,22,1,0,813,1,2,2,3,4,2,4,4,4,2,5,4,5,4,0,0.0,0
9817,9852,0,1,42,1,2,1797,5,5,5,5,5,4,5,4,4,4,4,4,4,4,0,0.0,1
43,43,1,1,62,1,0,192,1,1,1,1,1,3,3,1,1,1,1,3,1,3,5,18.0,0
736,739,0,1,34,1,2,3608,3,3,3,3,4,2,3,4,4,4,5,5,4,4,0,0.0,1
8700,8731,1,1,11,0,0,308,3,5,3,3,2,3,2,2,4,5,4,3,5,2,0,0.0,0
397,398,0,1,57,0,0,239,1,4,1,3,2,1,2,2,3,4,4,4,5,2,8,3.0,0
4837,4856,0,1,43,1,2,2357,4,4,4,4,3,4,4,5,5,5,5,3,5,4,0,4.0,1
3727,3740,1,1,70,0,0,255,2,4,0,3,4,5,5,4,4,0,4,4,4,4,21,19.0,0
8486,8516,0,1,42,1,2,3228,4,4,4,4,3,5,2,4,4,4,4,5,4,3,0,0.0,1
587,588,1,0,24,1,0,843,0,0,0,2,5,0,5,5,4,1,2,4,2,5,0,0.0,1
3072,3083,1,1,65,0,2,482,3,2,3,3,4,4,3,2,2,3,2,2,2,3,0,0.0,0
8120,8149,0,1,35,1,2,1476,5,5,5,5,4,2,4,4,4,4,4,2,4,2,0,0.0,1
1731,1739,1,1,43,1,2,997,4,3,4,4,4,5,4,3,3,3,3,3,3,4,0,0.0,1
2257,2266,1,1,39,0,0,544,2,3,2,2,3,2,5,3,1,1,3,4,1,3,0,30.0,0
921,927,1,0,24,1,0,421,3,1,3,4,3,3,3,3,3,1,4,3,3,3,11,14.0,0
4016,4033,1,1,44,1,2,1842,1,5,5,5,1,3,3,1,1,1,1,1,1,2,6,0.0,0
8258,8288,1,1,41,0,1,1065,4,5,4,2,3,4,5,5,5,4,5,5,5,3,2,42.0,0
6014,6034,0,1,55,1,2,321,0,0,0,4,5,5,5,5,5,5,5,4,5,4,25,25.0,1
6950,6974,0,1,59,1,2,315,4,4,4,4,4,4,4,4,4,4,4,4,4,4,62,68.0,1
4329,4346,1,1,8,0,0,746,4,5,4,3,3,4,3,3,3,4,5,5,5,3,53,76.0,0
6935,6959,1,1,32,1,2,1869,4,4,4,4,4,4,4,4,3,2,4,2,1,4,0,1.0,1
7160,7185,1,1,48,1,2,533,2,1,1,1,1,3,4,2,2,2,2,3,2,1,18,30.0,0
7396,7423,1,1,49,1,0,533,4,5,5,5,3,1,2,4,4,4,4,5,4,1,45,40.0,1
825,830,0,1,15,0,0,685,4,4,4,3,1,4,1,1,2,3,4,4,4,1,0,0.0,0
820,825,0,1,70,0,0,721,1,3,1,3,1,1,1,1,3,3,1,4,5,1,0,0.0,0
9848,9883,1,1,29,1,2,533,2,2,2,2,4,4,4,4,4,3,5,4,4,4,1,12.0,1
589,590,0,1,23,1,2,3073,4,4,1,4,5,5,5,5,1,3,1,3,3,5,0,3.0,1
1710,1718,1,1,47,1,2,2039,4,4,4,4,3,4,4,5,5,5,5,3,5,3,2,2.0,1
99,99,0,1,50,1,2,1564,4,2,2,2,2,3,3,4,4,4,4,3,4,4,13,15.0,0
9599,9632,0,1,28,1,2,867,1,2,2,2,1,1,1,1,4,3,4,3,4,1,0,0.0,0
5058,5077,1,1,43,1,2,1919,3,3,3,3,4,4,5,4,4,5,4,3,4,4,16,0.0,1
5818,5838,1,1,29,1,2,862,2,2,2,2,5,5,5,5,4,3,3,5,3,5,14,2.0,1
307,308,1,1,48,1,0,109,5,4,4,4,5,3,1,5,5,5,5,5,5,3,0,0.0,1
7909,7937,1,1,53,1,2,1898,4,4,4,4,2,5,4,5,5,5,5,4,5,3,23,8.0,1
1078,1084,1,1,53,1,2,1963,2,2,2,2,4,5,5,4,4,4,4,4,4,3,1,1.0,1
9458,9489,0,1,44,1,2,1998,1,1,1,1,5,5,5,5,5,5,5,4,5,5,0,0.0,1
6525,6547,0,1,52,1,2,3374,5,5,5,5,2,5,4,5,5,5,5,3,5,3,0,0.0,1
1986,1994,0,1,61,0,2,998,2,3,2,3,5,1,1,3,3,2,4,5,3,3,5,13.0,0
1308,1314,0,1,7,0,0,621,1,4,1,4,2,1,2,2,2,2,1,3,5,2,0,0.0,0
5369,5389,0,1,20,1,1,224,4,5,1,5,4,4,2,4,1,3,4,4,3,4,2,7.0,0
9244,9275,0,0,26,1,2,1119,3,3,3,1,1,3,1,1,1,4,2,4,1,1,64,57.0,0
8099,8128,1,1,28,0,2,1814,3,5,3,5,1,3,1,1,3,3,5,5,4,1,0,0.0,0
7398,7425,0,1,59,0,0,1183,2,4,2,3,3,2,3,3,3,4,3,5,5,3,7,10.0,0
793,798,0,1,18,0,1,2381,3,5,3,1,3,2,2,3,5,5,4,2,3,2,153,140.0,0
2422,2432,1,1,35,1,2,3936,3,1,5,5,5,3,4,2,2,3,3,1,2,1,0,1.0,0
8991,9022,1,1,52,1,2,354,1,1,1,1,2,5,4,4,4,4,4,3,4,3,0,0.0,1
4451,4469,0,1,9,0,0,444,3,4,3,3,3,3,3,3,3,2,5,4,4,3,0,0.0,0
5124,5144,0,1,61,1,2,2998,2,2,4,2,5,5,4,5,5,5,5,5,5,4,0,0.0,1
5493,5513,1,1,66,0,0,1124,3,4,3,5,3,4,5,5,5,3,5,4,5,3,0,0.0,0
2080,2088,1,1,68,0,1,2065,1,4,1,1,3,3,4,1,1,1,1,3,1,3,5,0.0,0
2661,2672,1,1,64,0,0,1182,1,4,1,2,4,3,4,2,2,1,2,5,2,3,0,0.0,0
2065,2073,0,1,18,0,0,533,3,2,2,3,3,2,3,3,1,3,4,3,4,3,2,19.0,0
9200,9231,0,0,34,1,0,759,2,2,2,3,2,2,2,2,2,1,3,4,3,2,0,0.0,0
1893,1901,1,1,61,1,2,3440,5,5,5,5,3,2,3,5,5,4,5,2,5,3,0,0.0,0
5086,5105,1,0,35,1,0,1097,3,3,3,1,1,3,2,1,4,4,2,3,3,1,0,29.0,0
6111,6131,1,0,40,1,2,280,4,5,5,3,5,5,5,5,4,3,5,4,4,5,0,0.0,0
4737,4755,1,1,76,1,0,650,3,2,2,2,4,4,4,4,4,3,4,1,4,2,0,0.0,0
1735,1743,1,0,27,1,2,2153,3,3,3,2,1,3,1,1,4,3,5,3,4,1,0,6.0,0
1806,1814,1,1,39,1,2,2607,2,2,2,2,4,4,4,5,5,5,5,4,5,4,0,0.0,1
9220,9251,1,1,40,0,0,733,4,2,3,3,3,4,4,4,5,3,4,4,4,4,158,155.0,1
5358,5378,1,0,24,1,2,488,4,3,4,4,2,4,5,2,1,3,4,4,1,2,0,0.0,1
6905,6929,1,0,26,1,0,259,3,4,2,4,2,2,4,2,3,2,4,3,4,2,9,10.0,0
8003,8031,0,0,29,1,0,300,4,4,4,2,3,4,3,3,4,3,2,5,3,3,0,0.0,0
1773,1781,0,1,19,0,0,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0.0,0
2811,2822,1,1,20,0,0,946,3,2,3,3,4,3,4,4,3,2,3,1,3,4,0,0.0,0
7868,7895,1,1,61,1,2,2162,2,2,2,2,4,4,3,2,2,2,2,4,2,1,0,0.0,0
1380,1387,1,1,59,0,0,468,2,4,2,2,1,2,3,5,5,2,5,5,5,2,4,0.0,0
8707,8738,0,1,61,0,0,612,4,0,4,3,1,4,1,1,4,5,4,3,4,1,18,10.0,0
5799,5819,1,1,23,1,2,1013,1,3,3,3,1,1,1,1,2,2,4,3,3,1,14,42.0,0
3123,3135,0,1,50,1,2,733,5,5,5,5,5,5,4,4,4,4,4,5,4,3,4,0.0,1
5446,5466,1,1,49,1,2,1620,2,2,2,2,2,5,4,4,4,4,4,4,4,3,7,9.0,1
6612,6634,0,1,43,1,2,2677,3,3,3,3,3,4,4,3,3,3,3,3,3,3,0,0.0,0
7246,7271,1,0,26,1,0,1310,2,2,2,3,1,2,1,1,2,1,3,3,3,1,0,34.0,0
9893,9928,1,1,18,0,2,413,5,4,5,4,5,5,2,5,3,4,5,3,4,5,7,0.0,1
3847,3862,1,0,21,1,2,1195,0,0,0,4,1,0,1,1,3,5,2,5,1,1,0,0.0,1
1883,1891,1,1,25,1,2,853,5,5,5,5,4,4,4,4,5,5,5,4,5,4,0,12.0,1
1555,1562,1,1,56,1,0,296,4,3,3,3,1,5,5,4,4,4,4,5,4,4,114,116.0,1
3361,3374,0,1,63,0,1,1303,2,5,2,1,3,2,3,3,5,3,5,4,4,3,52,35.0,0
3701,3714,0,1,56,1,2,2556,2,2,2,2,5,4,4,3,2,4,5,4,3,4,28,64.0,1
2519,2530,1,1,43,1,2,3486,1,1,1,1,2,4,5,5,5,4,4,4,5,3,0,11.0,1
8367,8397,1,1,39,0,0,606,3,5,3,3,5,3,5,5,5,5,3,5,1,5,107,90.0,0
2560,2571,1,0,42,1,2,213,2,1,1,5,1,2,1,1,4,5,5,5,5,1,0,0.0,0
6039,6059,0,1,34,0,0,2565,3,4,3,4,4,3,4,4,3,2,4,3,5,4,16,102.0,0
7349,7374,0,1,54,1,2,1464,3,3,3,3,2,5,5,3,3,3,3,3,3,3,0,0.0,1
7876,7903,0,0,40,1,2,1726,4,4,4,3,2,4,2,2,5,3,5,3,4,2,0,0.0,0
3207,3219,0,1,67,1,0,190,3,1,1,1,3,3,3,3,1,3,3,2,3,3,31,22.0,0
1937,1945,1,1,70,0,0,296,3,2,3,3,2,2,2,5,5,3,2,1,5,3,0,0.0,0
32,32,1,1,51,1,2,770,1,1,1,1,2,5,5,2,2,3,2,3,2,4,25,24.0,1
6729,6752,1,0,18,1,0,304,5,3,5,4,4,5,4,4,5,1,5,4,1,4,0,0.0,1
8722,8753,1,0,48,1,0,236,3,0,3,3,5,3,5,5,5,1,3,2,3,5,0,2.0,0
3223,3235,0,0,22,1,0,822,3,3,3,3,5,3,5,5,1,5,2,2,4,5,35,17.0,0
9356,9387,1,1,63,1,2,3767,2,3,3,3,1,3,4,2,2,2,2,3,2,4,0,0.0,0
5008,5027,0,0,20,1,2,373,0,4,0,4,4,0,3,4,5,3,4,3,4,4,0,0.0,1
8659,8690,0,1,24,0,0,1892,4,5,3,2,2,3,1,2,5,1,2,4,1,2,0,0.0,0
8429,8459,0,0,36,1,0,399,4,3,4,3,4,4,4,4,1,2,4,4,1,4,0,0.0,0
5336,5356,0,1,39,0,0,1620,2,4,2,5,4,2,1,4,5,3,4,4,5,4,18,21.0,0
6834,6857,1,1,51,1,2,1947,1,2,2,2,1,1,1,1,5,2,1,1,2,1,168,141.0,0
9900,9935,1,1,25,0,0,667,2,4,1,2,1,1,1,1,3,4,4,4,4,1,4,6.0,0
7472,7499,1,1,40,1,2,859,3,3,3,3,3,5,4,4,4,4,4,5,4,4,0,0.0,1
2038,2046,1,0,26,1,2,429,2,0,2,5,4,2,4,4,4,4,4,5,4,4,42,40.0,0
6241,6262,0,1,48,1,2,1972,1,1,1,1,1,1,1,4,4,4,4,5,4,2,0,0.0,1
3846,3861,1,1,60,1,2,2162,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1.0,1
4956,4975,0,1,29,0,0,1448,2,3,2,1,1,2,1,1,1,3,1,1,4,1,0,0.0,0
3764,3778,1,1,18,0,0,936,2,4,2,3,5,2,5,5,4,4,4,3,4,5,0,0.0,0
8556,8586,0,1,40,1,0,410,4,3,3,3,4,4,4,4,5,5,3,3,4,4,0,5.0,1
4579,4597,0,1,59,1,2,2483,2,2,2,2,1,4,3,2,2,2,2,3,2,2,0,0.0,0
5322,5342,1,0,23,1,0,836,4,4,4,3,4,4,1,4,1,4,4,2,3,4,35,24.0,0
394,395,0,1,64,0,0,441,2,1,2,3,3,2,3,3,1,5,2,3,2,3,0,0.0,0
594,595,0,1,17,0,1,612,4,4,4,3,3,4,3,3,1,1,3,2,4,3,0,0.0,0
4939,4958,0,1,39,0,0,780,2,5,2,1,4,2,4,4,3,5,5,4,4,4,0,0.0,0
2122,2130,1,1,47,1,2,2466,3,3,3,3,5,5,3,5,5,5,5,2,5,2,1,0.0,1
342,343,0,1,46,0,0,308,3,5,3,3,2,3,2,2,3,4,5,4,4,2,0,0.0,0
2739,2750,0,1,68,0,1,1506,1,5,0,1,1,0,1,1,3,1,2,4,5,1,8,6.0,0
4857,4876,1,1,62,0,0,280,1,4,1,3,4,4,4,4,4,1,4,4,4,3,0,4.0,0
3818,3832,0,1,43,1,2,404,1,1,1,1,5,5,5,4,4,4,4,4,4,3,0,0.0,1
3571,3584,1,1,46,0,0,557,3,4,3,1,4,5,5,5,5,3,5,5,5,3,14,24.0,0
5289,5309,1,1,51,1,2,1167,4,4,3,4,5,5,5,5,5,5,5,5,5,5,12,0.0,1
9597,9630,0,1,49,1,2,2674,3,3,3,3,4,4,4,4,4,4,4,4,4,3,0,0.0,1
7856,7883,0,1,14,0,0,311,2,4,2,5,4,2,4,4,5,2,5,3,5,4,0,0.0,0
5615,5635,0,1,31,0,0,446,4,5,4,3,4,4,4,4,3,5,4,3,4,4,0,0.0,0
7503,7530,1,0,26,1,0,1201,4,4,4,2,1,4,1,1,1,3,3,5,4,1,5,12.0,0
9581,9614,1,1,33,1,2,354,1,1,5,1,3,4,5,5,5,4,5,1,5,2,0,0.0,1
3423,3436,1,0,45,1,2,967,4,4,4,3,5,4,5,5,5,5,4,5,5,5,78,116.0,1
8759,8790,0,1,39,1,2,992,1,1,1,1,4,5,4,4,4,4,4,4,4,5,0,0.0,1
4850,4869,0,1,46,1,2,2834,2,4,2,4,5,4,3,2,2,2,2,3,2,1,0,0.0,0
6636,6658,1,1,11,0,0,1303,2,5,2,4,3,2,1,3,5,2,5,3,5,3,0,0.0,0
5912,5932,1,1,24,1,0,332,5,4,2,2,5,5,4,5,4,5,5,2,2,5,0,0.0,1
4651,4669,1,1,42,0,2,448,3,4,3,3,1,4,1,3,3,3,3,1,3,2,25,8.0,0
8613,8643,1,1,51,0,0,1139,2,1,2,2,4,3,2,5,5,2,1,4,5,2,0,0.0,0
7409,7436,0,1,37,1,2,262,2,4,2,2,5,4,4,5,5,5,5,5,5,5,0,9.0,1
7319,7344,0,1,56,1,2,1903,0,0,0,1,4,4,4,1,1,1,1,4,1,5,0,0.0,1
5709,5729,1,1,9,0,1,579,2,3,2,3,1,2,1,1,4,5,4,4,4,1,0,0.0,0
2489,2500,1,1,57,1,2,293,4,4,4,4,4,4,5,5,5,5,5,3,5,4,0,0.0,1
4052,4069,1,1,67,0,0,626,2,4,2,1,3,5,4,3,3,2,3,3,3,5,8,4.0,0
1070,1076,0,0,24,1,2,1727,4,4,4,1,4,4,4,4,4,5,5,5,4,4,0,0.0,1
6501,6523,1,1,27,1,0,588,5,3,3,3,5,5,5,5,4,4,4,1,3,5,0,0.0,1
9752,9787,0,1,42,1,2,2369,3,4,4,4,2,4,3,3,3,3,3,4,3,1,26,18.0,0
6855,6878,1,1,63,0,0,599,4,4,4,3,4,4,3,3,3,4,3,1,3,3,0,0.0,0
5385,5405,1,1,44,1,2,2244,5,5,5,5,3,5,1,4,4,4,3,2,4,3,6,8.0,1
9490,9521,1,1,52,1,2,2960,3,3,3,3,2,5,5,5,5,5,5,3,5,5,0,0.0,1
4801,4820,0,1,7,0,0,373,3,5,4,2,5,4,5,5,3,2,1,3,2,5,10,13.0,0
8951,8982,1,1,32,1,2,2024,4,4,4,4,4,4,4,4,3,4,5,3,4,4,0,0.0,1
9544,9576,0,0,24,1,0,449,1,3,1,4,3,1,3,3,3,4,3,1,3,3,24,28.0,0
941,947,1,1,26,1,2,427,4,4,4,4,4,4,4,4,3,5,5,5,5,4,4,18.0,1
5840,5860,0,1,30,1,2,1546,2,3,3,3,2,2,2,2,4,2,4,1,4,2,0,4.0,0
3369,3382,1,1,8,0,0,158,2,5,2,4,5,2,5,5,4,4,4,5,4,5,30,22.0,0
929,935,1,1,55,0,1,775,0,5,0,1,3,5,4,3,3,0,3,4,3,3,0,5.0,1
6200,6220,1,1,54,0,2,597,3,0,4,3,5,5,5,4,4,4,4,4,4,3,0,0.0,0
4097,4114,0,1,29,1,2,1188,1,3,3,3,1,1,1,1,4,3,3,4,4,1,40,35.0,0
3004,3015,0,1,31,1,2,925,1,1,1,1,5,5,5,5,4,2,5,5,4,5,11,6.0,1
8824,8855,0,1,41,1,2,3360,4,1,1,1,1,3,3,4,4,4,4,3,4,2,14,19.0,0
4854,4873,1,1,26,0,1,1747,3,5,3,4,4,3,4,4,5,1,3,3,1,4,15,38.0,0
6307,6328,0,0,24,1,0,1250,3,3,3,3,1,3,1,1,5,2,5,5,4,1,0,0.0,0
2061,2069,0,1,44,1,2,618,2,3,3,3,3,3,4,2,2,2,2,2,2,3,0,0.0,0
2414,2424,1,1,69,0,0,293,1,4,1,1,2,5,5,5,5,1,5,4,5,4,3,5.0,0
1312,1318,1,1,50,1,2,1075,1,1,1,1,4,4,4,1,1,1,1,3,1,4,0,0.0,0
2567,2578,1,1,41,1,1,990,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,0.0,0
9556,9588,1,0,20,1,0,468,2,0,2,5,2,2,5,2,3,3,4,3,5,2,2,0.0,0
9915,9950,1,1,25,1,0,507,5,2,5,2,5,5,5,5,2,3,3,2,4,5,0,4.0,1
3011,3022,1,1,50,0,0,1023,4,0,5,5,5,4,3,4,4,4,5,3,4,3,368,350.0,0
7756,7783,0,1,56,1,2,1522,2,2,2,2,2,5,4,4,4,4,4,3,4,3,0,0.0,1
7480,7507,0,1,52,0,0,187,1,5,1,5,5,1,5,5,4,4,5,3,5,5,0,5.0,0
1583,1590,1,1,51,0,0,158,3,5,3,2,4,4,5,4,4,3,1,3,4,3,0,0.0,0
8739,8770,1,1,31,1,1,101,4,2,5,2,4,4,4,4,3,3,1,2,1,4,0,0.0,1
5851,5871,1,1,39,0,0,937,1,1,1,3,2,1,2,2,1,2,3,1,3,2,45,55.0,0
7266,7291,0,1,26,1,0,1008,4,3,1,3,4,4,3,4,5,2,3,1,2,4,4,0.0,1
6951,6975,1,0,23,1,0,422,3,5,3,4,5,3,5,5,2,3,3,4,5,5,0,2.0,0
9906,9941,1,1,55,0,0,241,4,4,4,3,4,5,4,5,5,4,5,5,5,5,0,0.0,1
8520,8550,1,0,36,1,2,628,2,2,2,3,2,2,3,2,3,3,5,3,4,2,7,19.0,0
1740,1748,0,1,41,1,0,954,5,4,5,4,5,5,5,5,1,4,5,1,3,5,0,0.0,1
5853,5873,1,1,40,1,0,258,4,2,2,2,4,4,4,4,1,4,4,1,3,4,8,11.0,0
5708,5728,1,0,23,1,2,717,5,0,5,1,4,5,4,4,4,5,5,3,5,4,5,0.0,1
6643,6665,1,1,43,1,2,406,5,5,5,5,5,4,4,5,5,4,5,5,5,5,0,18.0,1
7152,7177,1,0,24,1,0,748,4,4,4,3,1,4,1,1,4,5,5,3,5,1,0,0.0,1
781,785,1,1,34,1,2,2365,2,5,5,5,3,3,4,2,2,2,2,4,2,2,5,2.0,0
1159,1165,0,1,39,1,2,2131,2,2,2,2,2,3,1,4,4,4,4,2,4,5,57,46.0,1
3406,3419,1,1,46,1,2,859,4,4,4,4,2,5,4,5,5,5,5,4,5,4,0,0.0,1
8948,8979,1,1,20,1,2,3948,3,3,3,3,4,4,4,4,3,1,3,2,3,4,0,0.0,1
1186,1192,1,0,41,1,2,629,1,1,1,2,3,1,3,3,3,3,4,4,4,3,0,12.0,0
4699,4717,0,1,18,0,0,259,3,5,3,4,4,3,4,4,5,4,3,4,4,4,0,0.0,0
9262,9293,1,0,38,1,2,187,3,3,3,3,5,3,5,5,4,4,4,4,5,5,0,0.0,0
130,130,1,1,52,0,2,589,3,4,3,4,2,3,3,2,2,3,2,2,2,2,30,22.0,0
2404,2414,1,1,50,0,0,270,1,4,1,2,2,5,5,5,5,1,5,4,5,4,1,0.0,0
975,981,1,1,29,1,2,1428,5,5,5,5,5,5,5,5,2,3,4,2,3,5,0,0.0,1
